data,Electric
2021/8/1,2043.99
2021/8/2,2252.03
2021/8/3,2256.95
2021/8/4,2289.71
2021/8/5,2195.93
2021/8/6,2168.9
2021/8/7,2064.062
2021/8/8,2056.69
2021/8/9,2186.51
2021/8/10,2217.638
2021/8/11,2083.31
2021/8/12,2114.025
2021/8/13,2115.66
2021/8/14,1998.126
2021/8/15,2035.804
2021/8/16,2258.59
2021/8/17,2263.506
2021/8/18,2220.095
2021/8/19,2234.429
2021/8/20,2204.94
2021/8/21,2009.184
2021/8/22,2011.23
2021/8/23,2295.85
2021/8/24,2300.77
2021/8/25,2295.85
2021/8/26,2331.489
2021/8/27,2199.618
2021/8/28,2025.9751
2021/8/29,1987.4787
2021/8/30,2233.2
2021/8/31,2263.915
2021/9/1,2227.46
2021/9/2,2134.5
2021/9/3,2199.2
2021/9/4,2010.003
2021/9/5,1976.42
2021/9/6,2027.203
2021/9/7,2292.58
2021/9/8,2256.544
2021/9/9,2314.69
2021/9/10,2283.98
2021/9/11,2116.892
2021/9/12,2136.959
2021/9/13,2312.65
2021/9/14,2311.421
2021/9/15,2286.03
2021/9/16,2282.75
2021/9/17,2430.596
2021/9/18,2166.446
2021/9/19,2250.4
2021/9/20,2365.071
2021/9/21,2329.031
2021/9/22,2308.1455
2021/9/23,2342.956
2021/9/24,2329.851
2021/9/25,2262.27
2021/9/26,2272.92
2021/9/27,2436.73
2021/9/28,2421.996
2021/9/29,2326.165
2021/9/30,2335.99
2021/10/1,2407.6628
2021/10/2,2140.235
2021/10/3,2208.218
2021/10/4,2458.445
2021/10/5,2378.995
2021/10/6,2340.498
2021/10/7,2335.5845
2021/10/8,2336.8131
2021/10/9,2175.865
2021/10/10,2261.868
2021/10/11,2337.6322
2021/10/12,2389.643
2021/10/13,2343.775
2021/10/14,2425.68
2021/10/15,2344.18
2021/10/16,2236.06
2021/10/17,2312.24
2021/10/18,2571.477
2021/10/19,2582.125
2021/10/20,2573.9345
2021/10/21,2550.181
2021/10/22,2471.96
2021/10/23,2315.9267
2021/10/24,2375.3095
2021/10/25,2534.2095
2021/10/26,2467.0456
2021/10/27,2441.244
2021/10/28,2807.3701
2021/10/29,2641.098
2021/10/30,2652.975
2021/10/31,2657.07
2021/11/1,2781.1598
2021/11/2,2679.185
2021/11/3,2631.269
2021/11/4,2813.1036
2021/11/5,2998.623
2021/11/6,3051.4536
2021/11/7,3220.1825
2021/11/8,3191.515
2021/11/9,3010.0905
2021/11/10,3064.149
2021/11/11,2759.863
2021/11/12,2738.97761
2021/11/13,2715.224
2021/11/14,2900.334
2021/11/15,3199.2961
2021/11/16,3099.3693
2021/11/17,3062.511
2021/11/18,2901.5634
2021/11/19,2838.085
2021/11/20,2780.7502
2021/11/21,2686.966
2021/11/22,2829.894
2021/11/23,3297.5848
2021/11/24,3274.6508
2021/11/25,2779.9312
2021/11/26,2831.9422
2021/11/27,3147.2851
2021/11/28,3316.4235
2021/11/29,3187.4196
2021/11/30,3409.7977
2021/12/1,2998.623508
2021/12/2,3057.5967
2021/12/3,3046.1297
2021/12/4,2931.869
2021/12/5,2801.6366
2021/12/6,2740.6157
2021/12/7,2715.2245
2021/12/8,2726.6915
2021/12/9,2610.7928
2021/12/10,2695.5667
2021/12/11,2505.132
2021/12/12,2509.637
2021/12/13,2608.745
2021/12/14,2784.0265
2021/12/15,2738.977
2021/12/16,2648.4701
2021/12/17,2569.0201
2021/12/18,2482.6079
2021/12/19,2450.6641
2021/12/20,2687.785
2021/12/21,2965.451
2021/12/22,3363.929
2021/12/23,3386.863
2021/12/24,3021.967
2021/12/25,2845.457
2021/12/26,2772.559
2021/12/27,2817.6
2021/12/28,2741.4348
2021/12/29,2691.0618
2021/12/30,2738.568
2021/12/31,2682.052
2022/1/1,2515.37
2022/1/2,2566.562
2022/1/3,2773.788
2022/1/4,3141.14
2022/1/5,3048.996
2022/1/6,2992.88
2022/1/7,2918.76
2022/1/8,2829.894
2022/1/9,2818.01
2022/1/10,2938.83
2022/1/11,3171.857
2022/1/12,3127.62
2022/1/13,2958.488
2022/1/14,3358.19
2022/1/15,3207.077
2022/1/16,3070.29
2022/1/17,3435.189
2022/1/18,3843.49
2022/1/19,3486.79
2022/1/20,3066.6
2022/1/21,2902.38
2022/1/22,3599
2022/1/23,4017.958
2022/1/24,4146.9628
2022/1/25,4176.039
2022/1/26,3861.1066
2022/1/27,3333.624
2022/1/28,3537.98
2022/1/29,4100.2756
2022/1/30,4388.589
2022/1/31,4002.806
2022/2/1,3562.145
2022/2/2,3047.35
2022/2/3,2781.1598
2022/2/4,2562.87
2022/2/5,2930.64
2022/2/6,3137.046
2022/2/7,3267.688
2022/2/8,3862.335
2022/2/9,3563.78
2022/2/10,3487.609
2022/2/11,3132.132
2022/2/12,2701.3
2022/2/13,2859.38
2022/2/14,3569.516
2022/2/15,3460.17
2022/2/16,2927.773
2022/2/17,2745.1206
2022/2/18,2563.696
2022/2/19,2468.27
2022/2/20,2590.315
2022/2/21,2726.69
2022/2/22,2544.447
2022/2/23,2520.285
2022/2/24,2514.961
2022/2/25,2298.316
2022/2/26,2179.141
2022/2/27,2236.886
2022/2/28,2556.324
2022/3/1,2699.66
2022/3/2,2614.888
2022/3/3,2542.8097
2022/3/4,2353.194
2022/3/5,2214.77
2022/3/6,2229.51
2022/3/7,2444.52
2022/3/8,2306.5
2022/3/9,2383.909
2022/3/10,2587.44
2022/3/11,2461.721
2022/3/12,2745.1206
2022/3/13,3354.1
2022/3/14,2920.402
2022/3/15,2480.1507
2022/3/16,2721.777
2022/3/17,2501.856
2022/3/18,2467.0456
2022/3/19,2168.49376
2022/3/20,2202.89
2022/3/21,2548.1337
2022/3/22,2381.45
2022/3/23,2248.7628
2022/3/24,2434.692
2022/3/25,2434.692
2022/3/26,2403.977
2022/3/27,2433.87
2022/3/28,2367.118
2022/3/29,2224.19
2022/3/30,2291.764
2022/3/31,2311.421
2022/4/1,2427.73
2022/4/2,2510.456
2022/4/3,2560.01
2022/4/4,2504.722
2022/4/5,2218.457
2022/4/6,2176.274978
2022/4/7,2369.98556
2022/4/8,2473.598
2022/4/9,2448.206
2022/4/10,2677.5471
2022/4/11,2532.9809
2022/4/12,2334.7654
2022/4/13,2255.7249
2022/4/14,2255.7249
2022/4/15,2145.969
2022/4/16,2178.7321
2022/4/17,2158.2553
2022/4/18,2150.064
2022/4/19,2313.879
2022/4/20,2384.7288
2022/4/21,2364.252
2022/4/22,2319.6126
2022/4/23,2268.4205
2022/4/24,2173.4082
2022/4/25,2221.7334
2022/4/26,2278.659
2022/4/27,2198.389
2022/4/28,2290.126
2022/4/29,2239.753
2022/4/30,2239.753
2022/5/1,2135.3213
2022/5/2,2250.810546
2022/5/3,2313.06004
2022/5/4,2141.0548
2022/5/5,2141.0548
2022/5/6,2030.48
2022/5/7,1837.9981
2022/5/8,1824.483
2022/5/9,2193.4754
2022/5/10,1471.4633
2022/5/11,2163.5793
2022/5/12,2216.4095
2022/5/13,2125.902
2022/5/14,2033.34685
2022/5/15,1996.898
2022/5/16,2105.01
2022/5/17,2097.2344
2022/5/18,2132.4546
2022/5/19,2047.6806
2022/5/20,2127.1306
2022/5/21,2126.311
2022/5/22,2085.3579
2022/5/23,2106.65
2022/5/24,2123.035
2022/5/25,2146.3788
2022/5/26,2057.0999
2022/5/27,2046.452
2022/5/28,1839.63627
2022/5/29,1873.627
2022/5/30,1897.7903
2022/5/31,2073.48139
2022/6/1,2165.2174
2022/6/2,2021.0607
2022/6/3,2092.72958
2022/6/4,2083.31024
2022/6/5,1972.325
2022/6/6,2198.799
2022/6/7,2094.77
2022/6/8,2211.495
2022/6/9,2016.965
2022/6/10,1915.809
2022/6/11,1842.91255
2022/6/12,1815.064
2022/6/13,1983.38343
2022/6/14,1944.4775
2022/6/15,1990.75508
2022/6/16,2096.00589
2022/6/17,1995.6695
2022/6/18,1875.675
2022/6/19,1950.62
2022/6/20,2084.5388
2022/6/21,2032.527
2022/6/22,1976.011
2022/6/23,1913.7623
2022/6/24,1978.469
2022/6/25,1790.9014
2022/6/26,1771.65
2022/6/27,1974.7832
2022/6/28,2027.6133
2022/6/29,2304.05026
2022/6/30,2240.162
2022/7/1,2067.3383
2022/7/2,2016.14633
2022/7/3,2004.6793
2022/7/4,1927.68
2022/7/5,1972.735
2022/7/6,2008.3651
2022/7/7,1869.122
2022/7/8,1871.9896
2022/7/9,1773.2914
2022/7/10,1801.549
2022/7/11,1897.79037
2022/7/12,1892.875
2022/7/13,1978.059
2022/7/14,1957.992
2022/7/15,1933.829
2022/7/16,1861.341
2022/7/17,1884.275
2022/7/18,1923.1816
2022/7/19,1985.0216
2022/7/20,1808.921
2022/7/21,1779.434
2022/7/22,1773.7009
2022/7/23,1670.9073
2022/7/24,1660.259
2022/7/25,1758.957
2022/7/26,1885.913
2022/7/27,1893.695
2022/7/28,1872.808
2022/7/29,1885.5
2022/7/30,1778.2058
2022/7/31,1780.2535
2022/8/1,1888.78
